Date;Pioggia;Nebbia;Temporale;Sereno
01/01/16;Pioggia;;;
02/01/16;Pioggia;;;
03/01/16;Pioggia;;;
04/01/16;Pioggia;;;
05/01/16;Pioggia;;;
06/01/16;;;;
07/01/16;;;;
08/01/16;;;;
09/01/16;;;;
10/01/16;;;;
11/01/16;Pioggia;;;
12/01/16;;;;
13/01/16;;;;
14/01/16;Pioggia;;Temporale;
15/01/16;Pioggia;;;
16/01/16;Pioggia;;;
17/01/16;Pioggia;;;
18/01/16;Pioggia;;;
19/01/16;Pioggia;;;
20/01/16;Pioggia;;;
21/01/16;Pioggia;;;
22/01/16;Pioggia;;;
23/01/16;Pioggia;;;
24/01/16;Pioggia;;;
25/01/16;;;;
26/01/16;;;;
27/01/16;;;;
28/01/16;;;;
29/01/16;;;;
30/01/16;;;;
31/01/16;;;;
01/02/16;;;;
02/02/16;;;;
03/02/16;;;;
04/02/16;;;;
05/02/16;;;;
06/02/16;;;;
07/02/16;;;;
08/02/16;;;;
09/02/16;;;;
10/02/16;;;;
11/02/16;Pioggia;;Temporale;
12/02/16;;;;
13/02/16;;;;
14/02/16;;;;
15/02/16;;;Temporale;
16/02/16;;;;
17/02/16;;;;
18/02/16;;;;
19/02/16;;;;
20/02/16;;;;
21/02/16;;;;
22/02/16;;;;
23/02/16;;;;
24/02/16;;;;
25/02/16;;;Temporale;
26/02/16;;;;
27/02/16;;;;
28/02/16;;;;
29/02/16;;;;
01/03/16;;;;
02/03/16;;;;
03/03/16;Pioggia;;Temporale;
04/03/16;Pioggia;;;
05/03/16;;;;
06/03/16;;;;
07/03/16;;;;
08/03/16;;;;
09/03/16;;;;
10/03/16;;;;
11/03/16;;;;
12/03/16;;;;
13/03/16;Pioggia;;;
14/03/16;Pioggia;;;
15/03/16;Pioggia;;Temporale;
16/03/16;Pioggia;;;
17/03/16;Pioggia;;Temporale;
18/03/16;;;;
19/03/16;Pioggia;;;
20/03/16;;;;
21/03/16;;;;
22/03/16;;;;
23/03/16;;;;
24/03/16;;;;
25/03/16;;;;
26/03/16;;;;
27/03/16;;;;
28/03/16;;;;
29/03/16;;;;
30/03/16;;;;
31/03/16;;;Temporale;
01/04/16;;;;
02/04/16;;;;
03/04/16;;;;
04/04/16;Pioggia;;;
05/04/16;;;;
06/04/16;;;;
07/04/16;;;;
08/04/16;;;;
09/04/16;;;;
10/04/16;;;;
11/04/16;;;;
12/04/16;Pioggia;;;
13/04/16;;;;
14/04/16;;;;
15/04/16;;;;
16/04/16;;;;
17/04/16;Pioggia;;;
18/04/16;;;;
19/04/16;;;;
20/04/16;Pioggia;;;
21/04/16;;;;
22/04/16;;;;
23/04/16;;;;
24/04/16;;;;
25/04/16;;;;
26/04/16;;;;
27/04/16;;;;
28/04/16;;;;
29/04/16;;;;
30/04/16;Pioggia;;;
01/05/16;;;;
02/05/16;;;;
03/05/16;;;;
04/05/16;;;;
05/05/16;;;;
06/05/16;;;;
07/05/16;;;;
08/05/16;;;;
09/05/16;;;;
10/05/16;;;;
11/05/16;Pioggia;;Temporale;
12/05/16;;;;
13/05/16;;;;
14/05/16;;;;
15/05/16;;;;
16/05/16;;;;
17/05/16;;;;
18/05/16;;;;
19/05/16;Pioggia;;;
20/05/16;Pioggia;;;
21/05/16;;;;
22/05/16;Pioggia;;;
23/05/16;;;;
24/05/16;;;;
25/05/16;;;;
26/05/16;;;;
27/05/16;;;;
28/05/16;;;;
29/05/16;;;;
30/05/16;;Nebbia;;
31/05/16;;;Temporale;
01/06/16;;;;
02/06/16;;;;
03/06/16;;;;
04/06/16;;;;
05/06/16;;;;
06/06/16;;;;
07/06/16;Pioggia;;;
08/06/16;Pioggia;;;
09/06/16;;;;
10/06/16;Pioggia;;;
11/06/16;Pioggia;;;
12/06/16;;;;
13/06/16;;;;
14/06/16;;;;
15/06/16;;;;
16/06/16;;;;
17/06/16;;;;
18/06/16;;;;
19/06/16;;;;
20/06/16;Pioggia;;;
21/06/16;Pioggia;;;
22/06/16;;;;
23/06/16;;;;
24/06/16;Pioggia;;;
25/06/16;Pioggia;;;
26/06/16;Pioggia;;;
27/06/16;Pioggia;;;
28/06/16;Pioggia;;;
29/06/16;;;;
30/06/16;;Nebbia;;
01/07/16;;;;
02/07/16;;;;
03/07/16;Pioggia;;;
04/07/16;;;;
05/07/16;;;;
06/07/16;;;;
07/07/16;;;;
08/07/16;;;;
09/07/16;;;;
10/07/16;;;;
